Tweet,Predicted Sentiment,Predicted Reasoning,Actual Sentiment
"Y en tierras aztecas todo sube

World food prices fall sharply in March because of #coronavirus, oil slump: U.N https://t.co/aT3u24nweP https://t.co/8awfep90xd",Neutral,"The tweet contrasts the phrase ""Y en tierras aztecas todo sube"" (meaning ""And in Aztec lands, everything rises"") with a headline stating that world food prices have fallen sharply in March due to coronavirus and oil price slump. The phrase ""todo sube"" suggests a critical or negative observation about rising prices locally, especially when global prices are falling. However, the tweet itself is mainly informative, sharing a news headline with a brief commentary. It does not express strong positive or negative emotions but rather highlights a discrepancy between local and global situations. The tone is slightly critical but mostly neutral because it is an observation rather than an outright complaint or praise.",1
"Are OUR companies doing this #Coronavirus #Amazon #JeffBezos Swedish IKEA store finds 50,000 forgotten face masks, gives them to local hospital https://t.co/k8BAhqj3sZ via @EtRetail",Positive,"The tweet discusses a Swedish IKEA store finding 50,000 forgotten face masks and donating them to a local hospital. The emotionally charged words include ""forgotten face masks"" and ""gives them to local hospital,"" which imply a positive action of helping during the coronavirus pandemic. The inclusion of hashtags #Coronavirus, #Amazon, and #JeffBezos seems to question if other companies are doing similar acts, but the core message focuses on IKEA’s good deed. The overall tone is appreciative and highlights a positive community contribution. There is no negativity or neutrality emphasized in the message, rather a prompt for other companies to act similarly.",0
https://t.co/Og3yEjheonÂ via @amazon ???https://t.co/CSPBw8taYWÂ via @amazon Need a Gift?Or write down ur thoughts????My Life In 2020 #QuarantineDiaries #QuarantineLife #journaling #coronavirus #journal #Quarantine #corona #QuarantineBirthday #toiletpaper #WritingCommnunity https://t.co/daCYLqdvin,Neutral,"The tweet includes various hashtags related to quarantine and journaling, such as #QuarantineDiaries, #QuarantineLife, #journaling, #coronavirus, #journal, #QuarantineBirthday, and #toiletpaper. These terms evoke the context of the COVID-19 pandemic and the lifestyle changes it caused. The tweet seems to promote writing down thoughts and possibly purchasing a journal as a gift, as indicated by ""Need a Gift? Or write down ur thoughts."" The tone is informational and somewhat encouraging, suggesting journaling as a positive outlet during quarantine. There are no emotionally negative or strongly positive judgmental words, and the tone is more neutral to mildly positive, focusing on coping methods during quarantine without emotional intensity.",2
"Shout out to all the millennials who, when their parents die of natural causes in a few years, have to clear out an extra panic-bought freezer full of stockpiled food ?? #lockdownUKnow #StopPanicBuying #coronavirus",Negative,"The tweet uses phrases like ""panic-bought freezer full of stockpiled food,"" which carries a negative connotation, implying stress or an undesirable situation resulting from panic buying during the lockdown. The hashtags #StopPanicBuying and #coronavirus further contextualize this as a critique or observation related to behaviors during the pandemic. The phrase ""Shout out to all the millennials"" might initially seem positive, but given the overall commentary on the burden millennials will face, it feels more sarcastic or resigned. The tone suggests frustration or cynicism rather than genuine praise or neutrality.",0
By slowing people down inside a #supermarket by #socialdistancing is going to increase the transmission rate of #coronavirus - the strategy is good for managing transmission during extended period of social contact (in a queue) and for managing footfall inside a public space...,Neutral,"The tweet discusses the impact of social distancing inside supermarkets on coronavirus transmission. The phrase ""slowing people down inside a #supermarket by #socialdistancing is going to increase the transmission rate of #coronavirus"" conveys a concern or potential negative consequence. However, the tweet also acknowledges that ""the strategy is good for managing transmission during extended period of social contact (in a queue) and for managing footfall inside a public space,"" which indicates an understanding of the positive aspects of the strategy. Thus, the overall tone is balanced, presenting both a potential downside and a benefit without strong judgment or emotional language. The words are more informational and analytical rather than emotionally charged or judgmental, leading to a neutral sentiment classification.",2
19 for this too shall pass,Positive,"The phrase ""this too shall pass"" is commonly used to convey hope and reassurance during difficult times. It carries an emotionally positive and encouraging tone, suggesting that current hardships or challenges are temporary. The inclusion of ""19"" likely refers to the year 2019 or a related event, but it does not add negative or neutral sentiment in this context. Overall, the message is uplifting and promotes perseverance.",1
"Today we are giving you the most relevant insights from Spain,  UK&amp;Mexico based on our daily tracking study. Want to find out how the #coronavirus  is changing  consumer habits daily? Find out with our tracking study! Contact us: https://t.co/7AVCjdHkUq  #covid19 #marketresearch https://t.co/w3vezbWBnp",Neutral,"The tweet contains words like ""most relevant insights,"" ""daily tracking study,"" and ""find out,"" which are informative and promotional rather than emotionally charged or judgmental. The tone is professional and neutral, focused on sharing information about consumer habits during the coronavirus pandemic. There is no evident positive or negative emotional expression; the message serves to inform and offer access to research data. Therefore, the sentiment is neutral.",2
Apple confirms devices left for repair at retail stores canÂt be picked up due to COVID-19 https://t.co/ZTe4SbA1zQ via @ChanceHMiller,Neutral,"The tweet contains the phrase ""can’t be picked up due to COVID-19,"" which indicates a restriction or inconvenience related to the ongoing pandemic. The tweet is informative, sharing news about Apple confirming the unavailability of device pickups at retail stores. There are no emotionally charged words expressing frustration, praise, or any strong sentiment; it simply states a fact about the situation. The tone is neutral as it communicates a current policy without judgment or emotional influence.",1
"#panicshopping #CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing

Should the UK #lockdown ?",Neutral,"The tweet is composed mainly of hashtags related to panic shopping and the coronavirus crisis. The hashtags such as ""#panicshopping,"" ""#stopstockpiling,"" and ""#StopPanicBuying"" indicate concern over people's behavior during the pandemic. The tweet ends with a question asking if the UK should lockdown, which suggests uncertainty and an appeal for consideration of further action. There is no strong positive or negative emotional language; rather, the tone is informative and questioning regarding the situation. Therefore, the overall sentiment is neutral, reflecting a concern with the topic without strong emotional judgment.",1
"Banks pressure #Healthcare firms now to raise #drug prices and #medical supplies for higher profit
#CoronavirusNewYork #coronavirus #corona #CoronavirusUSA #Coronavid19 #CoronaCrisis https://t.co/j4DZ3NE6go",Negative,"The tweet includes emotionally charged words such as ""pressure,"" ""raise,"" and ""higher profit,"" which suggest a critical perspective towards the actions of banks and healthcare firms. The phrasing implies that banks are coercing healthcare companies to increase drug and medical supply prices, likely seen as exploitative during the coronavirus crisis. This context and word choice create a negative tone, highlighting concern or disapproval of profit-driven motives in a public health emergency. The use of related hashtags emphasizes the seriousness of the situation, reinforcing the negative sentiment.",2
These 19 gas prices though y all  ,Negative,"The phrase ""These 19 gas prices though y all"" expresses a reaction to gas prices, likely referring to the price per gallon being around $1.9 or possibly $19, depending on context. The use of ""though"" here indicates a sense of surprise or disbelief. The phrase ""y all"" adds an informal, conversational tone. There is no explicitly positive or enthusiastic wording; rather, the phrase suggests concern or frustration about the gas prices being notable or possibly high. Since there is no clear expression of happiness or praise, nor a completely neutral statement without emotional charge, the overall tone leans toward mild negativity due to implied dissatisfaction or shock.",1
How are rising food prices helping the Cdns,Negative,"The tweet contains the phrase ""rising food prices,"" which is generally associated with frustration or concern because increasing food costs typically burden consumers. The question ""How are rising food prices helping the Cdns"" implies skepticism or criticism toward the situation, suggesting that the rising prices are not benefiting Canadians. There are no positive words, and the tone is critical or questioning the benefit of an adverse situation. Therefore, the overall sentiment conveyed is negative.",2
"Just wanna say hi to my parents who are in their 60s, they work in a grocery store. And all the other grocery store workers. We appreciate you still out there for us. Just the thought of having to be in the most frequented place during this skeeves me out. #COVID19 #Coronavirus",Positive,"The tweet contains emotionally charged words such as ""appreciate,"" which is clearly positive and expresses gratitude toward grocery store workers, including the tweeter’s parents. The phrase ""Still out there for us"" conveys respect and acknowledgment of their efforts. However, the word ""skeeves me out"" indicates discomfort or fear about being in a frequently visited place during the COVID-19 pandemic, which expresses a slight negative feeling or anxiety about the situation. Overall, the tweet balances appreciation and concern, but its predominant tone is one of gratitude and recognition for the workers’ efforts in difficult times.",2
#OPINION | The urban #millennial consumer in the time of #coronavirus: https://t.co/IsiarfMvKc | By Sandeep Das https://t.co/wIvtx58taN,Neutral,"The tweet mainly consists of neutral information, sharing an opinion piece about the urban millennial consumer amid the coronavirus pandemic. There are no emotionally charged or judgmental words present; the hashtags and phrasing serve an informational purpose and do not convey positive or negative sentiment on their own. The tone is factual and neutral as it points the reader to an external article without expressing any subjective feelings or judgments in the tweet itself.",1
"With an increase in online shopping, don't forget to use Amazon Smiles and choose HERREN PROJECT as your charity of choice! Shop https://t.co/YhNnHG1jRT and a portion of the proceeds are donated back. #coronavirus #onlineshopping #amazon #giveback https://t.co/2mzplYVCPM",Positive,"The tweet contains words and phrases with positive connotations such as ""choose HERREN PROJECT as your charity of choice,"" ""a portion of the proceeds are donated back,"" and ""#giveback,"" which emphasize charitable giving and supporting others. The mention of “increase in online shopping” and the call to use Amazon Smiles frames the message constructively, encouraging positive actions during the coronavirus pandemic. There are no negative or judgmental words present, and the overall tone is uplifting and promotional of generosity. Therefore, the tweet’s sentiment is positive.",2
Why is this asshole smoking in the line at the grocery store. Dont be that person #coronavirus #Covid_19,Negative,"The tweet contains the emotionally charged and judgmental word ""asshole,"" which conveys strong disapproval and frustration toward the person smoking in line. The context is a grocery store line during a sensitive time highlighted by hashtags #coronavirus and #Covid_19, suggesting the behavior is seen as particularly irresponsible or selfish due to public health concerns. The overall tone is critical and expresses annoyance or anger at this behavior. Therefore, the tweet's sentiment is negative.",1
"Four US senators investigated ""over claims they used insider knowledge of the impending #coronavirus crisis to sell shares before prices plummeted"" 

@BakktÂs Ex-CEO @SenatorLoeffler faces calls to quit after selling millions in stocks last month. 

https://t.co/uIIf5S3D9u https://t.co/zbCQoxMpYq",Negative,"The tweet contains emotionally charged terms such as ""investigated,"" ""claims,"" ""insider knowledge,"" ""impending #coronavirus crisis,"" ""sell shares before prices plummeted,"" and ""faces calls to quit."" These words suggest wrongdoing, skepticism, and a negative judgment about the actions of the senators and the ex-CEO mentioned. The context implies unethical behavior and wrongdoing related to stock sales during a crisis. The tone is critical and accusatory rather than neutral or positive. Therefore, the overall emotional tone of the tweet is negative.",0
"#McKinsey is tracking consumer sentiment to gauge how peopleÂs expectations, incomes, spending, and behaviors change throughout COVID-19. US survey data was collected last week, and will be updated on this link regularly. https://t.co/8McEHdw7He",Neutral,"The tweet contains no emotionally charged or judgmental words. It is purely informational, describing McKinsey's efforts to track consumer sentiment and how related factors change due to COVID-19. The tone is factual and neutral, offering a resource link for further updates without expressing any positive or negative judgment. Therefore, the overall sentiment is neutral.",1
The price of some Spanish vegetables has risen sharply on the domestic market amid the #coronavirus pandemic as consumers stock up on fresh produce in a bid to ward off the threat of contracting the virus: https://t.co/DSCPcsUpjp #foodservice #Spain,Negative,"The tweet uses the phrase ""price... has risen sharply,"" which indicates a negative economic impact for consumers. The context relates to the coronavirus pandemic, which generally carries a negative tone due to health risks and associated market disruptions. Although the mention of consumers stocking up on fresh produce might imply proactive behavior, it does not offset the negativity of rising prices and pandemic fears. The tweet is largely informative without emotive language expressing hope, satisfaction, or optimism, so the overall tone remains more negative than positive or neutral.",0
During #Covid_19 when grocery shopping do you use your own Reusable Bags or Store Plastic Bags? #poll #Shopping #ClimateChange #ecofriendly #COVID19 #mondaythoughts,Neutral,"The tweet asks a neutral question about grocery shopping habits during COVID-19, specifically whether people use reusable bags or store plastic bags. It includes hashtags related to the environment, shopping, and COVID-19, but does not express any emotional judgment or opinion. The words used are factual and the tone is inquisitive rather than positive or negative. Therefore, the overall emotional tone is neutral.",1
"Reprogramming of the executive.  

How long till there is nothing but middle lower economic jobs? 

All for a virus that probably has infected 30 -40% of us already without ever knowing. 

Stop being sheep.

https://t.co/tecPwgvvrE",Negative,"The tweet contains emotionally charged phrases such as ""Stop being sheep,"" which is a derogatory term implying blind obedience and suggests frustration or criticism. The concern about the economic impact on jobs (""How long till there is nothing but middle lower economic jobs?"") expresses worry about economic decline. The phrasing ""All for a virus that probably has infected 30-40% of us already without ever knowing"" appears to downplay the severity of the virus, which might reflect skepticism or frustration with the measures taken. Overall, the tone is critical and concerned, expressing negative feelings about economic consequences and societal responses to the virus.",0
The Iowa Attorney General's Office is investigating about 50 formal complaints alleging price gouging. https://t.co/VobRS7RTu1,Neutral,"The tweet mentions a formal investigation by a governmental office into price gouging complaints. The emotionally charged phrase ""price gouging"" carries a negative connotation, as it implies unethical or exploitative behavior. However, the tweet itself is presented in a factual, informative manner without expressing an opinion or emotional tone. It simply reports on an official action being taken. Therefore, despite the negative subject matter, the overall tone of the tweet remains neutral since it doesn't advocate or criticize but merely informs.",0
Consumer Corner: Intentional COVID-19 Price-Gouging Is Illegal https://t.co/wX59c3NJZt,Neutral,"The tweet contains the phrase ""Intentional COVID-19 Price-Gouging Is Illegal,"" which uses the judgmental term ""Illegal"" to describe price-gouging. ""Price-gouging"" itself is a negative practice, and labeling it as ""illegal"" implies strong disapproval. However, the tweet appears to be informative or cautionary rather than emotionally charged or expressive of strong personal feeling. It directs readers to a source for more information, suggesting an objective tone focused on consumer awareness rather than evoking emotions. Therefore, while the content relates to a negative practice, the tone of the tweet is neutral as it merely states a fact or legal position without explicit emotional judgment or persuasion.",0
@pulte I found a job as a cashier at a grocery store. I had no choice! Fear of my kids being homeless and hungry outweighs my fear of #Coronavirus. It will be a couple of weeks before I get paid and in the meantime I have become desperate. I have applied ,Negative,"The tweet contains emotionally charged words such as ""fear,"" ""homeless,"" ""hungry,"" and ""desperate,"" which indicate a sense of distress and urgency. The author expresses a difficult situation where the fear of their children suffering outweighs their fear of the coronavirus, highlighting a tough trade-off and a sense of vulnerability. The overall tone is one of hardship and necessity rather than optimism or neutrality, reflecting a negative emotional state despite the pragmatic action of finding a job. Therefore, the sentiment conveyed is negative.",0
"This lady refused to use the hand sanitizer offered to her at a supermarket but she is touching items and this is what happened to her.
.
. 
#louistv #shatter #shattawale #coronavirusitalianews #coronavirusÂ https://t.co/6FPI6KrYVV",Negative,"The tweet includes emotionally charged phrases such as ""refused to use the hand sanitizer"" and ""this is what happened to her,"" which imply a negative outcome resulting from the lady's actions. The tone suggests a cautionary or critical message about the behavior and its consequences, likely related to health and safety given the hashtags about coronavirus. This makes the overall sentiment disapproving or negative, as it highlights a negative result from neglecting precautions.",2
What do Mail Metro Media readers think about new #supermarket restrictions and how are they feeling about #lockdown? Find out in the latest instalment of our #Coronavirus insight series... https://t.co/tIhgIcy9wI,Neutral,"The tweet uses neutral language to inquire about readers' opinions on new supermarket restrictions and lockdown feelings. There are no emotionally charged or judgmental words present. The tone is informational and invites readers to find out more through the linked insight series, without expressing any positive or negative bias itself.",2
"#CoronaCrisis #stopstockpiling #StopPanicBuying #coronavirus #panicshopping #panicbuyinguk #coronavirus #Covid_19 #CoronaVirusUpdate #COVID19 #SocialDistanacing

Should people be allowed to sell grocery's at over inflated prices online",Negative,"The tweet contains emotionally charged hashtags such as #panicshopping, #panicbuyinguk, and #stopstockpiling, which indicate concern or criticism around behaviors driven by fear during the coronavirus crisis. The question posed about selling groceries at ""over inflated prices online"" suggests disapproval of price gouging, reflecting a critical stance. The overall tone conveys worry and condemnation of unethical practices during a difficult time, rather than positivity or mere information sharing. Thus, the sentiment is negative due to its critical and concerned nature.",1
You know the advice Stay home and only leave when you absolutely must When you do need to stock up where can you go Lots of stores are still open many with some major payment and pickup changes,Neutral,"The tweet uses phrases like ""Stay home,"" ""only leave when you absolutely must,"" and ""Lots of stores are still open"" accompanied by ""major payment and pickup changes."" The advice to stay home and only leave when necessary implies a cautious tone, likely in response to a health or safety concern, but it is presented informatively rather than emotionally charged. The reference to stores being open with changes suggests adapting to new circumstances. Overall, the tone is factual and advisory without expressing strong positive or negative emotions.",0
"With the #Coronavirus &amp; the #CDC guidelines to #StaySafeStayHome ,now You can get your #groceries #delivered from your favorite local grocery store; even Costco, BJÂs and PetCo participate! Check it out! Tell them I referred you! I used this b4 #Covid_19! https://t.co/ADY5hsx8Xu",Positive,"The tweet uses emotionally neutral and helpful keywords such as ""#StaySafeStayHome,"" ""#groceries,"" and mentions well-known stores participating in delivery services. The tone is informative and encouraging, promoting a convenient and safe shopping alternative during the pandemic. The phrase ""Check it out!"" and ""Tell them I referred you!"" adds a positive, friendly, and supportive touch. There is no negative or judgmental language; instead, it focuses on a beneficial service in a challenging time. Overall, the sentiment conveyed is positive as it highlights a helpful solution amid the coronavirus situation.",2
South Africa is not going to run out of food However panic buying will strain the supply chain So calm the fuck down and be considerate of the family that will need that fourth pack of bog roll you re hoarding,Negative,"The tweet contains emotionally charged phrases like ""panic buying,"" ""strain the supply chain,"" and ""calm the fuck down,"" which convey frustration and irritation. The phrase ""be considerate of the family that will need that fourth pack of bog roll you’re hoarding"" further implies judgment towards selfish behavior. Although the tweet aims to address an important issue (food supply and panic buying), the tone is admonishing and expresses displeasure at the current behavior of people. Overall, the language and tone indicate a negative sentiment due to the frustration and criticism expressed.",0
Opportunistic increases soap prices 10 amp 25 in India during News,Negative,"The tweet uses the emotionally charged word ""Opportunistic,"" which carries a negative connotation, implying exploitation for personal or commercial gain. The phrase ""increases soap prices 10 amp 25 in India during News"" suggests a price hike, potentially taking advantage of a particular situation (possibly a pandemic or hygiene-related news event). There is a clear critical tone implied by calling the price increase opportunistic. Overall, the tweet expresses disapproval and criticism of the price increase behavior.",1
Suzy is continuing to help companies navigate this crisis with real-time consumer insights via our COVID-19 Hub as well as hosting weekly webinars and category-specific insights. Please get in touch if we can help! #AskSuzy https://t.co/JZLLCRN6QA,Positive,"The tweet contains words and phrases such as ""help,"" ""navigate this crisis,"" ""real-time consumer insights,"" ""hosting weekly webinars,"" and ""Please get in touch if we can help!"" These words carry a helpful and supportive tone with positive connotations. The focus is on offering assistance and valuable information during a crisis, which frames the message as constructive and encouraging. The overall tone is proactive and solution-oriented, aiming to provide support rather than expressing any complaint or neutral report of facts.",2
"When is the new deadline to file taxes? Can I cancel or reschedule reservations without a fee? Is my bank or gym launching relief programs for the COVID-19 pandemic?

Questions about #COVID19 and your consumer rights? We have answers: https://t.co/uWyuGnqzyy",Neutral,"The tweet contains several questions about deadlines, cancellations, and relief programs related to COVID-19. These questions reflect concerns and the need for information but do not express strong emotions or judgment. The tone is informational and offers help by directing readers to a link for answers about consumer rights. There are no emotionally charged or judgmental words indicating frustration, anger, or happiness. Overall, the tweet’s tone is neutral as it seeks to inform and assist without expressing a positive or negative sentiment.",2
.@meijer implements daily health screenings for employees. #retail #coronavirus #meijer #supermarket #housewares #homeworld https://t.co/zjul70DoBo,Positive,"The tweet mentions that Meijer is implementing daily health screenings for employees, which is a proactive measure likely intended to promote health and safety during the coronavirus pandemic. The keywords ""daily health screenings"" suggest a responsible and caring action by the company. There are no emotionally charged or judgmental words that express dissatisfaction or enthusiasm; the tweet is mostly informative. The tone appears neutral to slightly positive because while it describes a protective measure, it does not explicitly express approval or excitement. However, since it highlights a health-conscious initiative, the overall tone leans towards positive as it reflects a constructive action aimed at employee well-being.",1
"Bad news, good news for #property market

House sales in the UK will collapse this year due to #coronavirus crisis. But prices will fall by only 3% and will rebound next year, according to global consultancy Knight Frank
 https://t.co/NCj4Ymg01j",Neutral,"The tweet contains emotionally charged words such as ""Bad news,"" ""collapse,"" and ""crisis,"" which convey a negative outlook initially. However, it also includes ""good news,"" ""prices will fall by only 3%,"" and ""will rebound next year,"" which provide a more optimistic and hopeful perspective. The overall tone balances bad news about house sales collapsing with reassuring information on the limited price drop and an expected recovery. Hence, the sentiment is mixed but leans towards a neutral stance as it presents both negative and positive aspects without a strong emotional bias in either direction.",0
People please think about others! YouÂre not the only person on the planet! Also watch the items marked for WIC purchases! Those items donÂt have choices! Please think of those dependent upon getting those items! #LoveThyNeighbor #Coronavirus #StopHoarding https://t.co/vLjOmTWOZb,Positive,"The tweet contains emotionally charged phrases such as ""please think about others,"" ""You’re not the only person on the planet,"" and ""Please think of those dependent upon getting those items."" These phrases appeal to the reader’s sense of responsibility and empathy, urging considerate behavior during a crisis. The hashtags #LoveThyNeighbor and #StopHoarding reinforce a positive social message encouraging kindness and sharing. Although the tweet addresses a problem—hoarding and selfish behavior—it does so in a constructive, appeal-to-empathy manner rather than an angry or accusatory tone. Overall, the tone is one of urging positive behavior and community care.",2
Crime in the COVID 19 era says a man s charged with terroristic threats other offenses after he allegedly coughed deliberately on a woman during a dispute in a Monmouth County supermarket then told her he was positive for the coronavirus,Negative,"The tweet uses emotionally charged words and phrases such as ""charged with terroristic threats,"" ""allegedly coughed deliberately,"" ""dispute,"" and ""coronavirus."" These words portray a serious and distressing incident involving intentional harm and fear related to COVID-19. The tone conveys concern and negativity surrounding crime during the pandemic. There is no indication of humor, support, or positivity in the message; it merely reports a troubling event. Therefore, the overall sentiment is negative.",0
"Once this #coronavirus #COVID19 subsides, can we stop places like @RogersCentre and @ScotiabankArena from marking up their prices 10x on cost like weÂve done to the Lysol and Toilet Paper resellers! @BlueJays @MapleLeafs #covidontario #Coronavirusontario",Negative,"The tweet contains emotionally charged words and phrases such as ""marking up their prices 10x,"" which expresses frustration and criticism towards the pricing practices of certain venues. The comparison to ""Lysol and Toilet Paper resellers,"" which also had price-gouging connotations during the pandemic, reinforces the negative view of these entities profiting excessively. The overall tone is one of disapproval and annoyance at what the author sees as unfair pricing, with no positive or neutral framing. Therefore, the sentiment leans clearly towards negative.",2
"I was able to procure a three-pack of Puffs, a bag of flour and bar soap at the grocery store today, so I'm playing the lottery tonight.

Wait, is the lottery still even a thing that happens? #covid19 #socialdistancing #coronavirus",Neutral,"The tweet contains words like ""able to procure,"" which suggests a sense of accomplishment or relief in successfully obtaining needed items during a difficult time, likely the COVID-19 pandemic. The mention of grocery items and ""playing the lottery tonight"" introduces a somewhat light-hearted or hopeful tone. However, the question ""is the lottery still even a thing that happens?"" alongside hashtags related to the pandemic (#covid19 #socialdistancing #coronavirus) adds a subtle undertone of uncertainty or confusion about normal activities during this period. Overall, the tone is a mix of mild positivity for small wins and contemplation about the changed circumstances, but without strong emotional negativity or exuberance.",2
"VIDEO: Senior Editor for Recycling, Matt Tudball, discusses the challenges the R-PET market is facing in Europe in light of the coronavirus. 
Problems include supply, logistics issues and low virgin PET prices. #ICIS #coronavirus #outlook #RPET #PET https://t.co/duFP0qqbQD",Negative,"The tweet contains words like ""challenges,"" ""problems,"" ""supply,"" and ""logistics issues,"" which are emotionally charged and generally have a negative connotation. These words indicate difficulties faced by the R-PET market in Europe due to the coronavirus pandemic. While the content is informative and factual, it highlights obstacles rather than positive outcomes or neutral information. Therefore, the overall tone leans towards negative due to the focus on the market's struggles.",0
#Breaking: @NAB has announced it will give small businesses and home owners hit by the coronavirus six-month loan holidays. https://t.co/oHVoV9VY8H,Positive,"The tweet uses the hashtag ""#Breaking"" which signals important news, and it reports that @NAB (National Australia Bank) is providing six-month loan holidays to small businesses and homeowners affected by the coronavirus. The key emotionally positive phrase here is ""six-month loan holidays,"" which implies financial relief and support during a difficult time. The overall tone is informative but carries a positive implication due to the assistance being offered. There are no negative or emotionally charged words that indicate criticism or distress. Therefore, the sentiment conveyed is positive because it highlights supportive action.",2
Some lady thatÂs not even my customer from across the street yelled at me for being outside with the #coronavirus going around. When she just came back from the grocery store...,Negative,"The tweet describes a negative interaction where the speaker is yelled at by someone who isn’t their customer. The emotionally charged words and phrases include ""yelled at me,"" which indicates confrontation and negativity, and “that’s not even my customer,” implying annoyance or frustration with the situation. The mention of ""#coronavirus going around"" provides context that the confrontation is related to concerns about the pandemic. The phrase ""When she just came back from the grocery store…"" suggests irony or frustration, as the accuser herself was potentially exposing others to risk. Overall, the tone reflects irritation and defensiveness rather than positivity or neutrality.",1
"Despite the chaos of the #coronavirus epidemic, San Francisco rent prices held steady in March--or even increased. #multifamily #CRE #CommercialRealEstate https://t.co/j2B2mSOQqN",Neutral,"The tweet mentions the ""chaos"" of the coronavirus epidemic, which carries a negative emotional charge, reflecting disruption or difficulty. However, the focus quickly shifts to an observation about San Francisco rent prices, which ""held steady"" or ""even increased."" These phrases suggest stability or growth in rent prices despite challenging conditions. There is no explicit emotional judgment beyond a neutral reporting of facts. The tone comes across as informative rather than expressing pleasure or dissatisfaction. Overall, the tweet maintains a balanced, factual tone without strong positive or negative sentiment.",2
"As prices of #sanitisers and #masks are increasing day by day in our country due to #coronavirus outbreak, the #government decided that 200ml sanitisers can't be sold for more than Rs 100

#CoronaStopKaroNa #CoronavirusOutbreakindia 

https://t.co/t6AyQPp2EN",Positive,"The tweet mentions the increasing prices of sanitisers and masks, which is a negative situation causing concern. However, the main focus is on the government's decision to cap the price of 200ml sanitisers at Rs 100. This government action is presented as a positive response to the problem, aiming to protect consumers from price exploitation. The hashtags reinforce the context of the coronavirus outbreak but do not introduce additional strong emotions. Overall, the tone is factual and somewhat optimistic about the government's intervention rather than being purely negative or neutral.",1
Panic buying is not an option Food bank key for some families during Covid 19 crisis,Negative,"The tweet uses the phrase ""Panic buying is not an option,"" which indicates a negative context around panic buying, suggesting it is problematic or undesirable. The mention of ""Food bank key for some families during Covid 19 crisis"" highlights the importance of food banks and the struggles some families face during the crisis. There is an implicit call for responsible behavior and awareness of those in need. The overall tone is serious and concerned but does not express a positive or happy sentiment; it focuses on the reality and challenges posed by the crisis.",0
"NCC Unveils 18 Call Centres For COVID-19, Other Emergencies https://t.co/vt1bJCXmEj
For more consumer-centric stories, kindly visit: https://t.co/GCJQ6JRSe5 https://t.co/ee9UdM0k4z",Positive,"The tweet announces that the National Communications Commission (NCC) has unveiled 18 call centres for COVID-19 and other emergencies. The words ""unveils"" and the setup of call centres suggest proactive measures and preparedness, which carry a constructive and helpful connotation. The message is informative and factual, not expressing strong emotions or subjective judgment but implies a positive development for public health and safety. There are no negative or emotionally charged words indicating distress, criticism, or concern. Overall, the tone is informative with a positive implication of increased support during emergencies.",2
Imagine the confusion of the grocery store right now for those who gave up media for lent #CoronavirusOutbreak #COVID2019,Neutral,"The tweet uses the word ""confusion,"" which is emotionally charged and generally has a negative connotation. However, the context is somewhat observational and humorous rather than directly complaining or expressing distress. The tweet reflects on the situation of people who gave up media for Lent now facing a confusing scenario in grocery stores amid the coronavirus outbreak. The phrasing ""Imagine the confusion"" suggests an empathetic, mildly amused tone rather than strong negativity or positivity. Overall, the tweet is making an observational comment with a hint of irony and light humor, but it is not strongly positive or negative.",0
"""Dear business men in Kampala don't lead us into temptations but deliver us from evil""
If your found hiking prices, your license is gonna be revoked for good and you will never trade from here.
~ @KagutaMuseveni 
#StayHomeStaySafe #FightCoronaTogether #COVID19UG #COVIDIDIOTS https://t.co/EUDUjWQl62",Negative,"The tweet contains emotionally charged phrases such as ""don't lead us into temptations,"" ""deliver us from evil,"" and the threat ""your license is gonna be revoked for good."" These expressions indicate frustration and a stern warning directed at business people hiking prices during a crisis. The mention of official enforcement (""~ @KagutaMuseveni"") and hashtags referencing COVID-19 further emphasize a serious tone aimed at discouraging unethical behavior. The overall tone is critical and cautionary rather than supportive or neutral.",0
"Now is the time to be vigilant &amp; cautious.

DC seniors are especially at risk of abuse and exploitation b/c many rely on others for help w/ money mgmt, healthcare &amp; daily tasks.

Protect yourself &amp; loved ones during #COVID19DC w/ tips in English &amp; Spanish: https://t.co/rcRqWd2chr https://t.co/6SZyvh6B50",Positive,"The tweet uses the words ""vigilant"" and ""cautious,"" which carry a slightly serious or concerned tone, implying a need to be careful. It highlights a vulnerable group, ""DC seniors,"" who are ""at risk of abuse and exploitation,"" which are negative concepts. However, the tweet's purpose is to raise awareness and offer protection tips, indicated by the phrase ""Protect yourself & loved ones,"" and provides resources in two languages. This suggests a helpful and protective intent rather than despair or negativity. Overall, despite the cautionary content, the tweet aims to empower the audience with information and support. Thus, the tweet's tone is primarily constructive and positive in nature.",2
OSU Extension Family &amp; Consumer Sciences educator Emily Marrison offers suggestions on how to find better coping mechanisms when stressed or bored. https://t.co/dsYH8fnv1b,Positive,"The tweet contains the phrase ""offers suggestions on how to find better coping mechanisms when stressed or bored,"" which indicates a helpful and supportive tone. The words ""better coping mechanisms"" suggest an improvement or positive assistance being offered. The overall context is informative and constructive, aiming to provide valuable advice to readers. There are no negative or emotionally charged negative words; instead, the message focuses on solutions and support.",0
